,country,year,annual_cold_intensity_sum,annual_dry_area,annual_freeze_burden,annual_heat_intensity_sum,annual_potential_evap,annual_total_evap,anomaly_cold_days,anomaly_heat_days,caution_area,drought_episodes,evap_deficit,extreme_area,extreme_heat_episodes,extreme_rain_days,heat_episodes,heavy_rain_days,max_heat_intensity,max_monthly_wind_speed,max_rolling_heat_stress,max_runoff,max_temp,max_year_precip,mean_annual_net_solar,mean_annual_net_thermal,mean_annual_rsn,mean_annual_wind_speed,mean_caution_area,mean_cold_area,mean_dry_area,mean_extreme_area,mean_latent_heat,mean_sensible_heat,mean_soil_moisture,mean_temp,min_monthly_soil_moisture,min_temp,no2_mean,ozone_mean,pm25_mean,pressure_variability,runoff_days,total_tropical_nights,winter_mean_snow_density
596,Germany,2010,130.07863521151435,198.40609809986745,105.46840477242596,46.2022146282855,-0.0433716,-0.018630914,0.0,0.0,15.353954927087935,81,0.024740685,15.353954927087935,13,23,10,85,6.114880175219035,1.5040741,17.785315525657104,0.0546359382569789,36.40274,0.0714985057711601,8720914.0,-4068076.2,130.01666,0.9675738,0.0420656299372272,0.2889545336230849,0.5435783509585409,0.0420656299372272,-3896403.2,-648924.8,0.3567293,7.888572014868494,0.2543043,-26.232025,23.4,41.9,15.8,412.74655,0.0,0,179.28816
597,Germany,2011,34.82586408135167,229.1864781263809,68.16504639858594,25.181035752190336,-0.049180835,-0.019349352,0.0,0.0,8.670790985417586,133,0.029831484,8.670790985417586,6,24,1,84,4.762586175219035,3.4351597,11.4584135256571,0.0755547881126403,35.050446,0.0620672553777694,9475857.0,-4608946.5,124.700874,1.30819,0.02375559174087,0.1867535517769478,0.6279081592503586,0.02375559174087,-4033184.8,-651016.44,0.33883604,9.845713426065643,0.24916296,-24.01715,25.4,41.8,15.5,326.27252,0.0,0,172.50621
598,Germany,2012,109.857568146433,204.37450287229345,66.62350861688024,30.52616427784744,-0.046916753,-0.020031055,0.0,0.0,11.875607600530268,90,0.026885698,11.875607600530268,8,16,5,101,5.783093175219037,2.1657114,14.207680525657103,0.0458481758832931,36.070953,0.0786654651165008,9184713.0,-4353344.5,125.7702,1.2547429,0.0324470153019952,0.1820314443084159,0.5584002810718399,0.0324470153019952,-4177807.8,-554001.3,0.35317874,9.27310584864754,0.31080958,-27.492798,23.8,41.8,13.0,547.61835,0.0,0,163.78253
599,Germany,2013,41.78788208135167,207.90013256738845,92.53513035793196,46.87793850438068,-0.044008203,-0.018907871,0.0,0.0,14.89924878479894,96,0.025100332,14.89924878479894,15,27,11,88,5.241345175219031,2.4976823,12.706946525657097,0.0881576314568519,35.529205,0.0834931433200836,8625112.0,-4048350.0,125.31122,1.042905,0.0408198596843806,0.2535209050902245,0.5695894042942149,0.0408198596843806,-3953553.8,-522654.88,0.35752985,8.851772911150684,0.28202602,-24.090805,22.6,41.8,13.6,295.35138,0.0,0,155.507
600,Germany,2014,13.461928360450552,206.4222271321255,41.59147149801148,21.59997575219034,-0.045581795,-0.020630363,0.0,0.0,10.043968183826776,83,0.024951432,10.043968183826776,9,19,7,77,4.234020175219037,2.5240567,10.187657525657102,0.0311830639839172,34.52188,0.0678123161196708,9261742.0,-4377713.0,115.8923,1.2402469,0.0275177210515802,0.1139492369808533,0.5655403483071931,0.0275177210515802,-4300387.0,-527378.3,0.3570211,10.54377192869863,0.29799846,-22.35492,22.2,42.8,13.4,320.75516,0.0,0,149.96317
601,Germany,2015,11.43736137672089,218.9012372956253,59.89151568714096,118.04025030788524,-0.050224334,-0.019934205,0.0,0.0,22.37759611135661,116,0.030290129,22.37759611135661,21,16,14,74,8.030164175219035,2.9678998,20.4193505256571,0.0416751690208911,38.318024,0.0754581093788147,9310167.0,-4486564.5,124.36254,1.4502487,0.0613084824968674,0.1640863443483314,0.5997294172482884,0.0613084824968674,-4157632.8,-548765.8,0.34298027,10.106621034547944,0.28329268,-21.992523,22.1,42.8,12.1,285.20056,0.0,0,154.43828
602,Germany,2016,36.473204048811,206.0784357048166,70.50375607600529,27.011893453066484,-0.045644704,-0.01979641,0.0,0.0,13.946531153336275,99,0.025848294,13.946531153336275,13,19,10,82,4.180310175219034,1.8912818,11.932775525657108,0.0423136577010154,34.46817,0.0582611747086048,9156408.0,-4308235.5,123.42074,1.0419258,0.0381052763752357,0.1926332133224188,0.5630558352590618,0.0381052763752357,-4126910.8,-672870.7,0.34663823,9.722643460185791,0.26290968,-26.333893,21.8,42.6,11.8,485.00018,0.0,0,153.55614
603,Germany,2017,81.55778145807255,195.188908528502,65.82810428634555,40.42244155569489,-0.04601298,-0.0204001,0.0,0.0,12.47702165267344,76,0.02561288,12.47702165267344,7,21,4,86,3.7481801752190336,2.7405396,9.624180525657104,0.0410148091614246,34.03604,0.1085567772388458,8975897.0,-4188197.0,124.4671,1.4945396,0.0341836209662286,0.180350970647522,0.5347641329548,0.0341836209662286,-4254636.5,-421376.75,0.36108497,9.713487761972605,0.30031094,-30.909027,21.0,41.6,11.9,239.53064,0.0,0,167.67024
604,Germany,2018,51.844968409261554,241.46553247901016,68.3526292532037,86.1094898335423,-0.0559404,-0.018733928,0.0,0.0,31.00817498895272,130,0.03720647,31.00817498895272,28,20,19,70,5.681287175219033,1.978152,15.171300525657095,0.067287378013134,35.969147,0.0669948533177375,9972753.0,-4833834.5,123.60346,1.1731757,0.0849539040793225,0.1872674774060375,0.6615494040520826,0.0849539040793225,-3908437.8,-1141979.9,0.30501089,10.86445806682466,0.20866966,-24.624298,20.0,42.1,12.3,389.72177,0.0,0,157.33365
605,Germany,2019,6.217940688360446,210.81374281926645,51.52275740167918,87.45200248310425,-0.052206308,-0.020604445,0.0,0.0,24.26999558108705,96,0.03160186,24.26999558108705,20,20,16,84,8.863170175219032,2.7611172,22.875646525657103,0.0612167716026306,39.15103,0.0650153160095214,9581985.0,-4643722.0,124.36657,1.5120441,0.0664931385783206,0.1411582394566553,0.5775718981349766,0.0664931385783206,-4295704.5,-584424.94,0.33838692,10.510915023378082,0.2427492,-19.795288,18.2,42.1,9.96,388.7001,0.0,0,161.40166
