,country,year,cause,Deaths,DALYs,Incidence,income_level,income_level_mode,gdp,health_exp
3086,South Africa,1998,Environmental heat and cold exposure,1.1872423324227002,60.54593267249776,50.36498660306,LM,UM,3309.60933087472,
3087,South Africa,1999,Cardiovascular diseases,266.1891876082494,6021.9339085682095,621.0441422433299,UM,UM,3242.36830483958,
3088,South Africa,1999,Chronic respiratory diseases,64.34371464789389,1828.3350708038995,1370.72335063193,UM,UM,3242.36830483958,
3089,South Africa,1999,Environmental heat and cold exposure,1.1062515323623758,57.08340850879977,49.69965655781,UM,UM,3242.36830483958,
3090,South Africa,2000,Cardiovascular diseases,259.32273988476186,5809.245639596803,623.92060821932,UM,UM,3217.84693448467,7.3366189
3091,South Africa,2000,Chronic respiratory diseases,63.47395700685252,1805.613627957053,1367.62767702971,UM,UM,3217.84693448467,7.3366189
3092,South Africa,2000,Environmental heat and cold exposure,1.0573529132413817,54.74934695697856,49.18721034738,UM,UM,3217.84693448467,7.3366189
3093,South Africa,2001,Cardiovascular diseases,257.17117902800106,5734.572645115856,625.24877270285,LM,UM,2847.15191945908,7.12327909
3094,South Africa,2001,Chronic respiratory diseases,61.82461580923821,1763.0340427403014,1326.6415654924,LM,UM,2847.15191945908,7.12327909
3095,South Africa,2001,Environmental heat and cold exposure,1.0094750138900754,52.55853608808676,48.73198751975,LM,UM,2847.15191945908,7.12327909
3096,South Africa,2002,Cardiovascular diseases,252.9679801228372,5649.895754270056,625.99544189435,LM,UM,2688.23676032806,6.67774487
3097,South Africa,2002,Chronic respiratory diseases,60.78336567360019,1740.2082991674547,1234.52762846524,LM,UM,2688.23676032806,6.67774487
3098,South Africa,2002,Environmental heat and cold exposure,0.9952516900385384,52.12678115167247,48.22181819152,LM,UM,2688.23676032806,6.67774487
3099,South Africa,2003,Cardiovascular diseases,247.7433869056142,5559.548747262098,626.1858366099999,LM,UM,4062.21755993786,7.04098177
3100,South Africa,2003,Chronic respiratory diseases,59.940533293828494,1721.2098281893072,1125.63601202466,LM,UM,4062.21755993786,7.04098177
3101,South Africa,2003,Environmental heat and cold exposure,0.9944444005723206,52.234629969411735,47.70531464741,LM,UM,4062.21755993786,7.04098177
3102,South Africa,2004,Cardiovascular diseases,231.90001584746824,5274.1389207973225,625.82113957557,UM,UM,5221.46333731721,6.938416
3103,South Africa,2004,Chronic respiratory diseases,55.98865128708894,1639.2045331008528,1034.34548184019,UM,UM,5221.46333731721,6.938416
3104,South Africa,2004,Environmental heat and cold exposure,0.9523946652293472,50.640765412218194,47.23133502214,UM,UM,5221.46333731721,6.938416
3105,South Africa,2005,Cardiovascular diseases,229.363396819956,5241.309150144542,624.88997051853,UM,UM,5836.87663325127,6.86216164
3106,South Africa,2005,Chronic respiratory diseases,54.93366639668264,1620.7744357399752,995.0807780031,UM,UM,5836.87663325127,6.86216164
3107,South Africa,2005,Environmental heat and cold exposure,0.9403181833070554,50.10903986779762,46.84775169322,UM,UM,5836.87663325127,6.86216164
3108,South Africa,2006,Cardiovascular diseases,234.0041716716892,5351.152603295797,623.27558938396,UM,UM,6077.38293388876,6.87650871
3109,South Africa,2006,Chronic respiratory diseases,55.447589702580274,1638.8263238282077,998.4798895368,UM,UM,6077.38293388876,6.87650871
3110,South Africa,2006,Environmental heat and cold exposure,0.9554919347981016,50.70639763832326,46.55428489634,UM,UM,6077.38293388876,6.87650871
3111,South Africa,2007,Cardiovascular diseases,235.18139087026884,5420.6463134496,620.92687076631,UM,UM,6591.85535960564,6.90510845
3112,South Africa,2007,Chronic respiratory diseases,54.58713988548613,1630.8115677956257,1009.35190539008,UM,UM,6591.85535960564,6.90510845
3113,South Africa,2007,Environmental heat and cold exposure,1.0131102171883166,53.08638644680871,46.293189480950005,UM,UM,6591.85535960564,6.90510845
3114,South Africa,2008,Cardiovascular diseases,238.44741516481545,5501.319922715857,617.78589814248,UM,UM,6184.75474328399,7.14832258
3115,South Africa,2008,Chronic respiratory diseases,54.27447112591982,1629.320642447883,1023.09970158431,UM,UM,6184.75474328399,7.14832258
3116,South Africa,2008,Environmental heat and cold exposure,0.9588074928292712,50.656608741592464,46.02235359824,UM,UM,6184.75474328399,7.14832258
3117,South Africa,2009,Cardiovascular diseases,248.601386521276,5713.390351404764,613.79753576917,UM,UM,6374.70560042992,7.64941454
