,country,year,cause,Deaths,DALYs,Incidence,income_level
21,Algeria,1997,Cardiovascular diseases,476.40164291330376,9958.902886293212,784.00606553436,LM
22,Algeria,1997,Chronic respiratory diseases,31.183819023184952,922.2714023971498,915.09895788432,LM
23,Algeria,1997,Environmental heat and cold exposure,0.0984716975383948,8.41224342331284,31.9816372809,LM
24,Algeria,1998,Cardiovascular diseases,469.23344891476177,9800.48806594237,781.5993450329199,LM
25,Algeria,1998,Chronic respiratory diseases,30.84058644556577,916.7571573291962,914.05281080156,LM
26,Algeria,1998,Environmental heat and cold exposure,0.0946371060233558,8.187327811183504,31.66424185197,LM
27,Algeria,1999,Cardiovascular diseases,460.9665372948345,9616.547928579846,778.73913075545,LM
28,Algeria,1999,Chronic respiratory diseases,30.907623978443485,918.9866577010802,913.49460513692,LM
29,Algeria,1999,Environmental heat and cold exposure,0.0919150278697905,8.002365780108981,31.42382715603,LM
30,Algeria,2000,Cardiovascular diseases,452.0583130850277,9422.8145236253,775.22582854553,LM
31,Algeria,2000,Chronic respiratory diseases,30.9190958667053,919.0402430901016,914.07155405893,LM
32,Algeria,2000,Environmental heat and cold exposure,0.0889902962998864,7.823117824352236,31.31257853539,LM
33,Algeria,2001,Cardiovascular diseases,442.3111309628652,9208.694470161352,769.1896632899201,LM
34,Algeria,2001,Chronic respiratory diseases,30.85275787259122,918.9993365798892,917.69923743677,LM
35,Algeria,2001,Environmental heat and cold exposure,0.086536636880197,7.6880933835637295,31.317100783780003,LM
36,Algeria,2002,Cardiovascular diseases,433.2143253314321,9004.574964684194,759.90353890647,LM
37,Algeria,2002,Chronic respiratory diseases,30.68834441106476,917.8202274974556,924.45064565641,LM
38,Algeria,2002,Environmental heat and cold exposure,0.0842564850894277,7.546659980003391,31.37313034957,LM
39,Algeria,2003,Cardiovascular diseases,423.6395979979525,8801.427256995928,748.80834865142,LM
40,Algeria,2003,Chronic respiratory diseases,30.9232958820516,921.6961277674692,932.18211907029,LM
41,Algeria,2003,Environmental heat and cold exposure,0.2466887918492292,13.910670459013629,31.45635466419,LM
42,Algeria,2004,Cardiovascular diseases,414.1561264638367,8597.523393396934,737.36537475469,LM
43,Algeria,2004,Chronic respiratory diseases,31.03564521942173,925.5374025976836,938.73689600364,LM
44,Algeria,2004,Environmental heat and cold exposure,0.0857083656792368,7.508078727918153,31.54246590768,LM
45,Algeria,2005,Cardiovascular diseases,403.801192162872,8371.947733271061,727.0054921787901,LM
46,Algeria,2005,Chronic respiratory diseases,31.044562237418152,924.1626624291752,941.98921844046,LM
47,Algeria,2005,Environmental heat and cold exposure,0.0856429809916611,7.468423910246133,31.60715861038,LM
48,Algeria,2006,Cardiovascular diseases,396.46915780788777,8211.66279181525,717.45722079263,LM
49,Algeria,2006,Chronic respiratory diseases,30.8333288405494,917.7734598520464,942.3968459858,LM
50,Algeria,2006,Environmental heat and cold exposure,0.084839210961477,7.413211275647594,31.70940179381,LM
51,Algeria,2007,Cardiovascular diseases,391.65006060507295,8104.918732873353,707.59145336099,LM
52,Algeria,2007,Chronic respiratory diseases,30.487843924388564,909.0365797764592,942.08231729435,LM
53,Algeria,2007,Environmental heat and cold exposure,0.0837705322925768,7.366539691233215,31.88619343588,LM
54,Algeria,2008,Cardiovascular diseases,386.67438154401015,7995.088677413717,697.4857694735699,UM
55,Algeria,2008,Chronic respiratory diseases,30.152621260175124,900.1665704801853,941.42863671998,UM
56,Algeria,2008,Environmental heat and cold exposure,0.0824593927347943,7.31371639916141,32.08018389453,UM
57,Algeria,2009,Cardiovascular diseases,382.5795588149877,7906.998070001028,687.22656372029,UM
58,Algeria,2009,Chronic respiratory diseases,29.753771909302888,890.5178227204859,940.80818733121,UM
59,Algeria,2009,Environmental heat and cold exposure,0.0811754781421429,7.255821252431715,32.2340158114,UM
60,Algeria,2010,Cardiovascular diseases,380.0088536574632,7848.20656154028,676.8703788722601,UM
61,Algeria,2010,Chronic respiratory diseases,29.39067962229073,883.1970767313205,940.61647821138,UM
62,Algeria,2010,Environmental heat and cold exposure,0.0800423017635994,7.199567321114447,32.29026158173,UM
63,Algeria,2011,Cardiovascular diseases,376.32872307271487,7771.351225976322,664.99112593574,UM
64,Algeria,2011,Chronic respiratory diseases,29.247768602486985,879.3599581797963,941.37448532186,UM
