index,country,year,cause,Deaths,DALYs,Incidence,income_level
27,Algeria,1993,Asthma,11.409360234147131,413.31029524520335,766.2523623578,LM
28,Algeria,1993,Cardiovascular diseases,505.4664335492659,10633.970031198502,791.7486447672101,LM
29,Algeria,1993,Chronic obstructive pulmonary disease,20.238760217012647,472.89966984415867,142.34895657894,LM
30,Algeria,1993,Chronic respiratory diseases,33.579754416625086,961.7968565605322,912.7828386141,LM
31,Algeria,1993,Environmental heat and cold exposure,0.1174851232688701,9.429355631233816,33.27078071759,LM
32,Algeria,1993,Ischemic heart disease,269.99963972954754,5618.173058715721,413.5925728904,LM
33,Algeria,1993,Lower respiratory infections,31.646938613022908,1462.6105818215326,4966.77674374607,LM
34,Algeria,1993,Stroke,163.7619112377639,3327.195495690387,164.34813808355,LM
35,Algeria,1993,Upper respiratory infections,0.0062864428114206,51.82682216530551,149919.7119956509,LM
36,Algeria,1994,Asthma,11.036152507001304,406.5389363175569,767.96471460672,LM
37,Algeria,1994,Cardiovascular diseases,497.8908450516916,10447.59803066026,789.85328538157,LM
38,Algeria,1994,Chronic obstructive pulmonary disease,19.696628174302653,465.5366040844721,142.93224208887,LM
39,Algeria,1994,Chronic respiratory diseases,32.64581898271076,946.7677383061084,915.05896492626,LM
40,Algeria,1994,Environmental heat and cold exposure,0.112074820602368,9.170466520164217,32.939524674249995,LM
41,Algeria,1994,Ischemic heart disease,266.3623240260561,5527.873084174771,412.23773942733,LM
42,Algeria,1994,Lower respiratory infections,30.24289973098611,1382.5162516998023,4950.40803727238,LM
43,Algeria,1994,Stroke,160.45270313598914,3252.1504403978392,163.34136964218,LM
44,Algeria,1994,Upper respiratory infections,0.0061744728931064,51.823185006663785,149838.76327113635,LM
45,Algeria,1995,Asthma,10.751509664280864,400.7785473366724,768.52142825686,LM
46,Algeria,1995,Cardiovascular diseases,490.9022054502192,10285.170167686594,787.96449542336,LM
47,Algeria,1995,Chronic obstructive pulmonary disease,19.42807869008781,461.54618256240826,143.49277720595,LM
48,Algeria,1995,Chronic respiratory diseases,32.08136662582847,936.3292943863006,916.16063265886,LM
49,Algeria,1995,Environmental heat and cold exposure,0.1071223683533427,8.89455144621572,32.63872680651,LM
50,Algeria,1995,Ischemic heart disease,262.97888038523183,5448.766001023622,410.97939632009,LM
51,Algeria,1995,Lower respiratory infections,29.08096636015545,1310.9510741403249,4920.96964805307,LM
52,Algeria,1995,Stroke,157.5279528335769,3188.956040506628,162.26674371453998,LM
53,Algeria,1995,Upper respiratory infections,0.0060613706272337,51.74476181183295,149784.34019189823,LM
54,Algeria,1996,Asthma,10.473000892105144,395.4687784034425,767.6678064205099,LM
55,Algeria,1996,Cardiovascular diseases,484.2429884719402,10129.741246182257,786.0524967991399,LM
56,Algeria,1996,Chronic obstructive pulmonary disease,19.22608516572089,458.867653334576,144.21993355233,LM
57,Algeria,1996,Chronic respiratory diseases,31.59577673035845,927.843576345385,916.01099544691,LM
58,Algeria,1996,Environmental heat and cold exposure,0.1022145526275916,8.622490086161312,32.32385723467,LM
59,Algeria,1996,Ischemic heart disease,260.48246386015813,5386.22348854128,409.84445319958,LM
60,Algeria,1996,Lower respiratory infections,28.01732906542482,1242.9776076478756,4871.13251660398,LM
61,Algeria,1996,Stroke,154.1464702619455,3117.465367306225,160.85926889673,LM
62,Algeria,1996,Upper respiratory infections,0.0059650825980291,51.73524717326688,149719.83755780198,LM
63,Algeria,1997,Asthma,10.225339105606748,391.0020603928447,765.73911482751,LM
64,Algeria,1997,Cardiovascular diseases,476.40164291330376,9958.902886293212,784.00606553436,LM
65,Algeria,1997,Chronic obstructive pulmonary disease,19.04783886302961,456.7938147472669,145.27386626762,LM
66,Algeria,1997,Chronic respiratory diseases,31.183819023184952,922.2714023971498,915.09895788432,LM
