,country,year,rural,city
636,Philippines,2005,19.5,38.2
637,Thailand,2005,44.7,24.9
638,Ukraine,2005,25.5,45.1
639,Finland,2005,42.3,23.2
640,Sweden,2005,34.5,26.1
641,Bosnia and Herz.,2005,47.9,19.2
642,Austria,2005,45.1,28.9
643,Germany,2005,27.7,32.1
644,Netherlands,2005,16.3,43.9
645,Switzerland,2005,27.8,28.4
646,Cuba,2005,16.3,46.8
647,Honduras,2005,47.6,30.5
648,Mexico,2005,23.6,54.4
649,Nicaragua,2005,34.2,37.1
650,Bolivia,2005,33.5,49.1
651,Brazil,2005,22.5,50.4
652,Canada,2005,26.0,47.0
653,Australia,2005,21.0,41.7
654,United States of America,2005,28.9,27.3
655,Colombia,2005,22.2,56.9
656,WORLD,2006,22.5,41.0
657,Burundi,2006,32.7,12.6
658,Madagascar,2006,66.0,10.5
659,Malawi,2006,52.6,9.1
660,Mozambique,2006,50.1,25.0
661,Uganda,2006,48.3,11.3
662,Zimbabwe,2006,63.0,23.3
663,Central African Rep.,2006,46.5,21.6
664,Chad,2006,47.1,32.7
665,Algeria,2006,24.9,36.4
666,Egypt,2006,3.8,59.7
667,Morocco,2006,25.2,47.5
668,Tunisia,2006,32.7,37.9
669,Botswana,2006,31.7,5.6
670,South Africa,2006,25.4,39.9
671,Niger,2006,49.3,24.8
672,Sierra Leone,2006,48.8,30.0
673,Kazakhstan,2006,28.2,35.3
674,Japan,2006,8.9,68.4
675,Pakistan,2006,18.2,44.3
676,Sri Lanka,2006,18.3,30.6
677,Philippines,2006,19.2,38.5
678,Thailand,2006,44.3,25.6
679,Ukraine,2006,25.5,45.0
680,Finland,2006,42.0,23.2
681,Sweden,2006,34.2,26.4
682,Bosnia and Herz.,2006,47.9,19.0
683,Austria,2006,44.8,29.0
684,Germany,2006,27.7,32.1
685,Netherlands,2006,16.3,43.8
686,Switzerland,2006,27.4,28.4
687,Cuba,2006,16.3,46.9
688,Honduras,2006,47.2,30.8
689,Mexico,2006,23.5,54.5
690,Nicaragua,2006,34.2,36.9
691,Bolivia,2006,33.2,49.4
692,Brazil,2006,22.3,50.8
693,Canada,2006,25.8,47.6
694,Australia,2006,20.7,42.2
695,United States of America,2006,28.7,27.7
696,Colombia,2006,21.9,57.3
697,WORLD,2007,22.3,41.3
698,Burundi,2007,31.1,13.2
699,Madagascar,2007,65.5,10.9
700,Malawi,2007,51.2,9.2
701,Mozambique,2007,50.0,25.1
702,Uganda,2007,47.2,11.6
703,Zimbabwe,2007,63.0,23.6
704,Central African Rep.,2007,46.3,21.6
705,Chad,2007,47.1,32.9
706,Algeria,2007,24.5,36.9
707,Egypt,2007,3.8,60.3
708,Morocco,2007,24.9,47.8
709,Tunisia,2007,32.4,38.1
710,Botswana,2007,31.4,7.1
711,South Africa,2007,25.1,40.6
712,Niger,2007,49.1,25.2
713,Sierra Leone,2007,48.4,30.9
714,Kazakhstan,2007,27.8,35.9
715,Japan,2007,8.9,68.5
716,Pakistan,2007,17.7,44.6
717,Sri Lanka,2007,18.1,30.7
718,Philippines,2007,18.9,38.7
719,Thailand,2007,43.9,26.2
720,Ukraine,2007,25.6,45.0
721,Finland,2007,41.8,23.3
722,Sweden,2007,34.0,26.7
723,Bosnia and Herz.,2007,47.9,18.8
724,Austria,2007,44.6,29.2
725,Germany,2007,27.8,32.1
726,Netherlands,2007,16.3,43.7
727,Switzerland,2007,27.0,28.3
728,Cuba,2007,16.4,47.0
729,Honduras,2007,46.9,31.2
730,Mexico,2007,23.3,54.7
731,Nicaragua,2007,34.2,36.7
732,Bolivia,2007,33.0,49.7
733,Brazil,2007,22.1,51.1
734,Canada,2007,25.6,48.1
735,Australia,2007,20.5,42.7
736,United States of America,2007,28.5,28.1
737,Colombia,2007,21.6,57.7
738,WORLD,2008,22.1,41.5
739,Burundi,2008,29.8,13.7
740,Madagascar,2008,65.0,11.3
741,Malawi,2008,49.9,9.4
742,Mozambique,2008,49.9,25.3
743,Uganda,2008,46.2,11.9
744,Zimbabwe,2008,63.1,24.0
745,Central African Rep.,2008,46.1,21.7
746,Chad,2008,47.1,33.2
747,Algeria,2008,24.1,37.4
748,Egypt,2008,3.7,60.8
749,Morocco,2008,24.6,48.1
750,Tunisia,2008,32.1,38.3
751,Botswana,2008,31.2,8.6
