country,year,n_extreme_vars,max_z_score,extreme_high_vars,extreme_low_vars,extreme_high_count,extreme_low_count
Brazil,2019,6,2.318964993232977,"heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area, ozone_mean",,6,0
Brazil,2020,12,2.66666953877214,"anomaly_heat_days, extreme_rain_days, annual_dry_area, drought_episodes, mean_dry_area, evap_deficit, runoff_days, ozone_mean, mean_annual_net_solar","mean_soil_moisture, min_monthly_soil_moisture, mean_annual_net_thermal",9,3
Brazil,2021,1,1.6478863787428515,extreme_rain_days,,1,0
Brazil,2022,8,1.864969165121404,"extreme_rain_days, runoff_days, annual_total_evap, annual_potential_evap, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat",mean_annual_net_solar,7,1
Brazil,2023,21,5.299932037796618,"mean_temp, anomaly_heat_days, heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area, extreme_rain_days, max_year_precip, annual_dry_area, drought_episodes, mean_dry_area, max_runoff, annual_total_evap, annual_potential_evap, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat","mean_soil_moisture, min_monthly_soil_moisture, mean_annual_net_solar",18,3
Burundi,1990,6,2.2850705500680477,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, no2_mean, mean_annual_rsn",min_temp,5,1
Burundi,1991,6,2.2241813886274127,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, heavy_rain_days, mean_annual_rsn",mean_temp,5,1
Burundi,1992,5,2.8744995359169403,"anomaly_cold_days, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,5,0
Burundi,1993,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,4,0
Burundi,1994,5,1.4610432460403502,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, runoff_days, mean_annual_rsn",,5,0
Burundi,1995,5,1.669406007318711,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, max_monthly_wind_speed, mean_annual_rsn",,5,0
Burundi,1996,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,4,0
Burundi,1997,9,2.4578108461458665,"max_temp, heat_episodes, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, extreme_rain_days, drought_episodes, mean_annual_rsn",min_monthly_soil_moisture,8,1
Burundi,1998,5,1.6872638033769771,"mean_temp, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,5,0
Burundi,1999,5,2.0566502955723713,"anomaly_cold_days, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,5,0
Burundi,2000,13,2.4245990053074786,"anomaly_heat_days, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, annual_dry_area, mean_dry_area, evap_deficit, mean_annual_wind_speed, mean_annual_rsn, mean_annual_net_solar","mean_soil_moisture, mean_annual_net_thermal, mean_sensible_heat",10,3
Burundi,2001,7,2.5678581055232867,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, max_year_precip, max_runoff, mean_annual_rsn",mean_temp,6,1
Burundi,2002,9,1.8889576034713076,"extreme_heat_episodes, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, drought_episodes, mean_annual_wind_speed, mean_annual_rsn","mean_soil_moisture, mean_sensible_heat",7,2
Burundi,2003,9,1.5680376040136015,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, annual_dry_area, mean_dry_area, evap_deficit, mean_annual_rsn, mean_annual_net_solar",mean_annual_net_thermal,8,1
Burundi,2004,6,1.7444177993224408,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, max_monthly_wind_speed, pressure_variability, mean_annual_rsn",,6,0
Burundi,2005,11,2.5844503818353726,"max_temp, anomaly_heat_days, heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,11,0
Burundi,2006,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,4,0
Burundi,2007,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,4,0
Burundi,2008,5,1.8270987274292563,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",min_temp,4,1
Burundi,2009,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,4,0
Burundi,2010,5,1.4748358687072165,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",min_monthly_soil_moisture,4,1
Burundi,2011,7,1.4855385007420028,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, pm2.5_mean, mean_annual_rsn","annual_total_evap, mean_latent_heat",5,2
Burundi,2012,5,1.8176105971578855,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, heavy_rain_days, mean_annual_rsn",,5,0
Burundi,2013,5,1.688586979235381,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, pm2.5_mean, mean_annual_rsn",,5,0
Burundi,2014,7,1.6055702580454472,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, max_runoff, mean_annual_rsn","annual_total_evap, mean_latent_heat",5,2
Burundi,2015,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,4,0
Burundi,2016,12,1.9758908687515437,"mean_temp, heat_episodes, extreme_heat_episodes, extreme_area, caution_area, mean_caution_area, mean_extreme_area, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, drought_episodes, mean_annual_rsn",,12,0
Burundi,2017,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,4,0
Burundi,2018,5,1.9203780632985241,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, pressure_variability, mean_annual_rsn",,5,0
Burundi,2019,5,2.010760410639127,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, ozone_mean, mean_annual_rsn",,5,0
Burundi,2020,6,2.2771432000827727,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, max_year_precip, ozone_mean, mean_annual_rsn",,6,0
Burundi,2021,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",,4,0
Burundi,2022,10,1.7662208498555094,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, annual_total_evap, annual_potential_evap, mean_annual_rsn, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat",mean_annual_net_solar,9,1
Burundi,2023,12,5.170147402114436,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, extreme_rain_days, runoff_days, annual_total_evap, annual_potential_evap, mean_annual_rsn, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat",mean_annual_net_solar,11,1
Canada,1990,6,2.1720937423635935,"heat_episodes, extreme_heat_episodes, pm2.5_mean, no2_mean","mean_temp, mean_soil_moisture",4,2
Canada,1991,5,2.2196966689048208,"heat_episodes, extreme_heat_episodes, anomaly_cold_days, max_year_precip, pm2.5_mean",,5,0
Canada,1992,7,2.624128486124936,"heat_episodes, extreme_heat_episodes, annual_freeze_burden, mean_cold_area, annual_dry_area, mean_dry_area, mean_annual_rsn",,7,0
Canada,1993,4,2.4231366360253417,"heat_episodes, extreme_heat_episodes, drought_episodes, mean_annual_wind_speed",,4,0
Canada,1994,3,0.4450628255340709,"heat_episodes, extreme_heat_episodes, mean_annual_net_solar",,3,0
Canada,1995,4,2.62706397668094,"heat_episodes, extreme_heat_episodes, drought_episodes",mean_sensible_heat,3,1
Canada,1996,2,0.0,"heat_episodes, extreme_heat_episodes",,2,0
Canada,1997,3,2.478822017861714,"heat_episodes, extreme_heat_episodes, extreme_rain_days",,3,0
Canada,1998,12,2.358530296500743,"heat_episodes, extreme_heat_episodes, annual_dry_area, mean_dry_area, evap_deficit, mean_annual_net_solar","min_monthly_soil_moisture, annual_total_evap, mean_annual_rsn, mean_annual_net_thermal, mean_latent_heat, mean_sensible_heat",6,6
