country,year,cause,income_level_mode,Deaths,DALYs,Incidence,Deaths_ltmean,DALYs_ltmean,Incidence_ltmean,Deaths_dev_abs,DALYs_dev_abs,Incidence_dev_abs,Deaths_dev_pct,DALYs_dev_pct,Incidence_dev_pct,is_extreme_year,n_extreme_vars,max_z_score,extreme_high_vars,extreme_low_vars
Cuba,2008,Cardiovascular diseases,LM,208.2876240532228,4424.34296726668,528.29728044048,226.12477866987763,4806.704187683261,562.0524991053962,-17.83715461665483,-382.3612204165811,-33.75521866491624,-7.8881910782079805,-7.95474831582827,-6.0057056446939585,True,5,1.689026750878313,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, pressure_variability, mean_annual_rsn",
Cuba,2008,Chronic respiratory diseases,LM,22.50122619271097,1007.814708384964,2289.54359085132,23.161355846378363,1018.2381910014896,2226.2741257535176,-0.6601296536673935,-10.423482616525575,63.26946509780237,-2.8501338956398574,-1.0236782227028378,2.841944051988109,True,5,1.689026750878313,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, pressure_variability, mean_annual_rsn",
Cuba,2008,Environmental heat and cold exposure,LM,0.0518044124565488,3.783472946952328,23.38674270933,0.06904660607099622,4.205935562789105,23.167394522459414,-0.01724219361444742,-0.42246261583677747,0.21934818687058666,-24.971819174889454,-10.044438616093004,0.9467969592262159,True,5,1.689026750878313,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, pressure_variability, mean_annual_rsn",
Cuba,2009,Cardiovascular diseases,LM,208.4599805841032,4391.37076198766,521.63767807353,226.12477866987763,4806.704187683261,562.0524991053962,-17.664798085774436,-415.33342569560045,-40.41482103186627,-7.81196920995708,-8.640711170865357,-7.190577587715284,True,5,0.39198275529486404,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn, mean_annual_net_solar",
Cuba,2009,Chronic respiratory diseases,LM,22.472158676879165,999.1808616051436,2297.7866058640698,23.161355846378363,1018.2381910014896,2226.2741257535176,-0.6891971694991987,-19.05732939634595,71.51248011055213,-2.9756339571414396,-1.8715983710650343,3.2122046105327486,True,5,0.39198275529486404,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn, mean_annual_net_solar",
Cuba,2009,Environmental heat and cold exposure,LM,0.0658966530725552,3.995016373385447,23.40211954818,0.06904660607099622,4.205935562789105,23.167394522459414,-0.003149952998441022,-0.21091918940365817,0.23472502572058573,-4.5620678230036775,-5.014798402279615,1.0131697178680743,True,5,0.39198275529486404,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn, mean_annual_net_solar",
Cuba,2010,Cardiovascular diseases,LM,208.30667519960832,4376.537454647683,516.7349265019101,226.12477866987763,4806.704187683261,562.0524991053962,-17.818103470269307,-430.16673303557764,-45.317572603486155,-7.879766019044811,-8.949307388997237,-8.062871827029843,True,8,3.9903059560999967,"anomaly_cold_days, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, drought_episodes, mean_annual_rsn","mean_temp, min_temp"
Cuba,2010,Chronic respiratory diseases,LM,22.63788850309277,998.4936916360032,2300.72737638107,23.161355846378363,1018.2381910014896,2226.2741257535176,-0.5234673432855921,-19.744499365486377,74.45325062755228,-2.2600893780035087,-1.9390845422981677,3.3442984296622678,True,8,3.9903059560999967,"anomaly_cold_days, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, drought_episodes, mean_annual_rsn","mean_temp, min_temp"
Cuba,2010,Environmental heat and cold exposure,LM,0.0775627448052953,4.157200270077961,23.39346347714,0.06904660607099622,4.205935562789105,23.167394522459414,0.008516138734299086,-0.04873529271114396,0.22606895468058497,12.333899113799285,-1.1587265659111967,0.9758065563282247,True,8,3.9903059560999967,"anomaly_cold_days, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, drought_episodes, mean_annual_rsn","mean_temp, min_temp"
Cuba,2011,Cardiovascular diseases,LM,197.83728785784308,4170.608839853965,513.62297323242,226.12477866987763,4806.704187683261,562.0524991053962,-28.287490812034548,-636.0953478292959,-48.42952587297623,-12.509682034153279,-13.233503103004175,-8.61654844521823,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2011,Chronic respiratory diseases,LM,22.811804401792987,1000.0098434993608,2285.71832791716,23.161355846378363,1018.2381910014896,2226.2741257535176,-0.34955144458537646,-18.228347502128713,59.44420216364233,-1.509201131850121,-1.7901850139995432,2.670120515528271,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2011,Environmental heat and cold exposure,LM,0.0785382770119133,4.1178033742061455,23.15759400174,0.06904660607099622,4.205935562789105,23.167394522459414,0.009491670940917074,-0.08813218858295979,-0.00980052071941273,13.746759588961396,-2.095424127813223,-0.04230307689503758,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2012,Cardiovascular diseases,LM,193.2086466982904,4072.539153389277,511.80849421877,226.12477866987763,4806.704187683261,562.0524991053962,-32.91613197158722,-734.1650342939838,-50.244004886626215,-14.556623190615431,-15.273771915800735,-8.939379322500699,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2012,Chronic respiratory diseases,LM,22.91028972237644,999.265634222234,2250.8845874047697,23.161355846378363,1018.2381910014896,2226.2741257535176,-0.2510661240019232,-18.97255677925557,24.61046165125208,-1.0839871623542334,-1.863272949975986,1.1054551354012743,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2012,Environmental heat and cold exposure,LM,0.0808686634431904,4.117642304164505,22.62339707449,0.06904660607099622,4.205935562789105,23.167394522459414,0.011822057372194175,-0.08829325862460013,-0.5439974479694136,17.121851521620496,-2.09925371671766,-2.3481166492073173,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2013,Cardiovascular diseases,LM,194.300285264678,4083.994757357258,510.91629048796,226.12477866987763,4806.704187683261,562.0524991053962,-31.824493405199632,-722.7094303260028,-51.13620861743624,-14.073863816428808,-15.035446370464808,-9.098119606056082,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2013,Chronic respiratory diseases,LM,24.02009862577986,1014.6410006704232,2209.1142489326103,23.161355846378363,1018.2381910014896,2226.2741257535176,0.8587427794014957,-3.597190331066372,-17.159876820907357,3.7076533217539307,-0.35327591941217124,-0.7707890336774823,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2013,Environmental heat and cold exposure,LM,0.0826163967431523,4.082282327027054,21.997005412830003,0.06904660607099622,4.205935562789105,23.167394522459414,0.013569790672156079,-0.12365323576205167,-1.1703891096294115,19.65308860829905,-2.9399698097146505,-5.051880600966106,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2014,Cardiovascular diseases,LM,197.8318359108752,4149.088636683687,510.7235728455,226.12477866987763,4806.704187683261,562.0524991053962,-28.292942759002415,-657.6155509995742,-51.328926259896264,-12.512093068892566,-13.681215346778647,-9.132407798487709,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2014,Chronic respiratory diseases,LM,24.65975864107692,1020.8866023389572,2173.3219926823504,23.161355846378363,1018.2381910014896,2226.2741257535176,1.4984027946985563,2.648411337467678,-52.95213307116728,6.46940880593074,0.26009742719066836,-2.3785091179301556,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2014,Environmental heat and cold exposure,LM,0.0865107724897016,4.11692329199679,21.47491569705,0.06904660607099622,4.205935562789105,23.167394522459414,0.01746416641870538,-0.0890122707923151,-1.6924788254094132,25.293301745705055,-2.116348894638983,-7.305434470711221,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2015,Cardiovascular diseases,LM,198.03052448427843,4152.588362065601,510.8932473177,226.12477866987763,4806.704187683261,562.0524991053962,-28.094254185599198,-654.1158256176595,-51.159251787696235,-12.424226283760945,-13.60840609442477,-9.102219431303132,True,6,1.749327598004081,"mean_temp, anomaly_heat_days, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2015,Chronic respiratory diseases,LM,25.66317183022692,1038.8267863119274,2156.38180044218,23.161355846378363,1018.2381910014896,2226.2741257535176,2.501815983848555,20.58859531043788,-69.89232531133757,10.801681906889543,2.021982232878924,-3.1394303380174002,True,6,1.749327598004081,"mean_temp, anomaly_heat_days, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2015,Environmental heat and cold exposure,LM,0.0885527223609685,4.1369549419301,21.26193919218,0.06904660607099622,4.205935562789105,23.167394522459414,0.019506116289972286,-0.06898062085900492,-1.9054553302794126,28.25065184219973,-1.6400779286609282,-8.224728630714976,True,6,1.749327598004081,"mean_temp, anomaly_heat_days, annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2016,Cardiovascular diseases,LM,197.8454790516602,4167.587964978742,511.56432599812,226.12477866987763,4806.704187683261,562.0524991053962,-28.279299618217436,-639.1162227045188,-50.488173107276225,-12.50605961211475,-13.29635021731097,-8.982821566959826,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2016,Chronic respiratory diseases,LM,25.45115482298213,1034.5021008699728,2154.1832513476697,23.161355846378363,1018.2381910014896,2226.2741257535176,2.289798976603766,16.26390986848321,-72.0908744058479,9.886290732680969,1.5972598565063465,-3.238184982338938,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2016,Environmental heat and cold exposure,LM,0.0867143730761055,4.073817711941129,21.35978324792,0.06904660607099622,4.205935562789105,23.167394522459414,0.017667767005109275,-0.13211785084797611,-1.8076112745394148,25.58817588650576,-3.1412238460535065,-7.802393457697813,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
Cuba,2017,Cardiovascular diseases,LM,202.03606083288497,4272.236679793539,512.7386940344201,226.12477866987763,4806.704187683261,562.0524991053962,-24.088717836992657,-534.4675078897217,-49.31380507097617,-10.6528430801297,-11.119209483688339,-8.773878801262804,True,7,2.6096310982285216,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, heavy_rain_days, extreme_rain_days, max_runoff, mean_annual_rsn",
Cuba,2017,Chronic respiratory diseases,LM,25.60102925786193,1036.3820285187162,2153.6884399368,23.161355846378363,1018.2381910014896,2226.2741257535176,2.439673411483568,18.143837517226643,-72.58568581671761,10.533379080504258,1.7818853857152273,-3.2604109699271575,True,7,2.6096310982285216,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, heavy_rain_days, extreme_rain_days, max_runoff, mean_annual_rsn",
Cuba,2017,Environmental heat and cold exposure,LM,0.0898181002990112,4.1755810783325815,21.60491291628,0.06904660607099622,4.205935562789105,23.167394522459414,0.020771494228014983,-0.030354484456523778,-1.5624816061794142,30.083295052412833,-0.7217058845379609,-6.744313024344111,True,7,2.6096310982285216,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, heavy_rain_days, extreme_rain_days, max_runoff, mean_annual_rsn",
Cuba,2018,Cardiovascular diseases,LM,200.1381813472053,4256.703879961412,514.15283941871,226.12477866987763,4806.704187683261,562.0524991053962,-25.98659732267234,-550.0003077218489,-47.89965968668628,-11.492149367942774,-11.442358136603753,-8.522275012196703,True,7,2.2757669433425067,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, max_monthly_wind_speed, mean_annual_rsn","annual_total_evap, mean_latent_heat"
Cuba,2018,Chronic respiratory diseases,LM,24.661267922024354,1021.8478718068808,2154.45658440543,23.161355846378363,1018.2381910014896,2226.2741257535176,1.499912075645991,3.6096808053912355,-71.81754134808762,6.4759251815585115,0.3545025945099279,-3.225907381184688,True,7,2.2757669433425067,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, max_monthly_wind_speed, mean_annual_rsn","annual_total_evap, mean_latent_heat"
Cuba,2018,Environmental heat and cold exposure,LM,0.0918263941107871,4.226379136628185,21.933314567630003,0.06904660607099622,4.205935562789105,23.167394522459414,0.022779788039790874,0.020443573839079576,-1.2340799548294115,32.991901175226296,0.48606483703527587,-5.326796475249059,True,7,2.2757669433425067,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, max_monthly_wind_speed, mean_annual_rsn","annual_total_evap, mean_latent_heat"
Cuba,2019,Cardiovascular diseases,LM,197.19178413308617,4231.3115249232405,515.47336864701,226.12477866987763,4806.704187683261,562.0524991053962,-28.932994536791455,-575.3926627600204,-46.5791304583862,-12.79514554175909,-11.970627696091874,-8.287327346204304,True,4,0.0,"annual_freeze_burden, winter_mean_snow_density, mean_cold_area, mean_annual_rsn",
